iter	Passed	Remaining
0	143	143631
1	144	72325
2	146	48609
3	148	36853
4	149	29684
5	150	24884
6	151	21531
7	152	18971
8	154	16980
9	155	15355
10	157	14127
11	158	13025
12	159	12100
13	162	11472
14	163	10769
15	164	10131
16	165	9568
17	166	9071
18	167	8628
19	168	8242
20	168	7878
21	169	7548
22	170	7246
23	171	6966
24	172	6709
25	172	6471
26	173	6263
27	174	6067
28	175	5878
29	176	5700
30	176	5532
31	178	5413
32	180	5282
33	182	5174
34	182	5041
35	183	4916
36	184	4801
37	185	4688
38	186	4589
39	187	4496
40	188	4401
41	188	4308
42	189	4227
43	190	4149
44	191	4071
45	192	3996
46	193	3927
47	194	3856
48	195	3786
49	196	3724
50	197	3667
51	197	3609
52	198	3553
53	199	3499
54	200	3445
55	201	3390
56	202	3341
57	203	3297
58	203	3252
59	204	3207
60	205	3163
61	206	3119
62	206	3076
63	207	3039
64	209	3010
65	210	2974
66	211	2940
67	211	2904
68	212	2869
69	213	2836
70	214	2805
71	215	2776
72	216	2745
73	217	2716
74	217	2687
75	218	2658
76	219	2630
77	220	2603
78	221	2581
79	222	2557
80	223	2530
81	223	2504
82	224	2475
83	224	2449
84	225	2425
85	226	2403
86	227	2385
87	228	2366
88	229	2348
89	230	2327
90	230	2306
91	231	2286
92	232	2268
93	233	2253
94	234	2234
95	235	2218
96	236	2199
97	237	2181
98	237	2163
99	238	2146
100	239	2130
101	240	2113
102	240	2097
103	241	2080
104	242	2064
105	242	2048
106	243	2032
107	244	2016
108	244	2002
109	245	1990
110	246	1976
111	247	1962
112	248	1948
113	248	1934
114	249	1920
115	250	1907
116	250	1893
117	251	1880
118	252	1867
119	253	1857
120	254	1845
121	254	1832
122	255	1820
123	256	1808
124	256	1798
125	258	1791
126	259	1780
127	259	1770
128	260	1759
129	261	1749
130	262	1738
131	262	1728
132	264	1721
133	265	1712
134	265	1703
135	266	1693
136	267	1683
137	268	1674
138	268	1665
139	269	1657
140	270	1649
141	271	1638
142	272	1630
143	272	1621
144	273	1612
145	274	1603
146	275	1596
147	275	1587
148	276	1581
149	277	1574
150	278	1567
151	279	1558
152	280	1550
153	280	1541
154	281	1534
155	282	1528
156	283	1521
157	284	1514
158	285	1507
159	285	1500
160	286	1491
161	287	1484
162	287	1478
163	289	1473
164	289	1466
165	290	1461
166	291	1454
167	292	1447
168	293	1441
169	294	1435
170	295	1431
171	296	1425
172	297	1420
173	297	1414
174	298	1408
175	299	1402
176	300	1397
177	301	1391
178	302	1385
179	303	1381
180	304	1375
181	304	1369
182	305	1364
183	306	1359
184	307	1353
185	308	1348
186	308	1343
187	309	1337
188	310	1332
189	311	1327
190	312	1322
191	313	1318
192	314	1313
193	315	1309
194	315	1303
195	316	1298
196	317	1293
197	318	1288
198	319	1284
199	319	1279
200	320	1275
201	321	1270
202	322	1265
203	322	1260
204	323	1254
205	324	1251
206	326	1249
207	326	1245
208	327	1240
209	328	1236
210	329	1231
211	330	1227
212	331	1223
213	332	1220
214	333	1216
215	333	1212
216	335	1209
217	335	1204
218	336	1200
219	337	1196
220	338	1193
221	339	1190
222	340	1185
223	341	1181
224	341	1177
225	342	1172
226	343	1169
227	344	1166
228	345	1162
229	346	1159
230	347	1155
231	347	1151
232	348	1147
233	349	1143
234	350	1141
235	351	1137
236	352	1134
237	353	1130
238	354	1127
239	354	1123
240	355	1120
241	356	1117
242	358	1117
243	359	1113
244	360	1111
245	361	1107
246	362	1104
247	362	1100
248	363	1097
249	364	1093
250	365	1090
251	366	1086
252	367	1083
253	368	1082
254	369	1079
255	370	1075
256	371	1072
257	371	1069
258	373	1068
259	374	1066
260	376	1065
261	377	1063
262	378	1059
263	378	1056
264	379	1053
265	380	1051
266	382	1049
267	382	1045
268	383	1042
269	384	1040
270	385	1036
271	386	1034
272	387	1032
273	388	1029
274	389	1025
275	389	1022
276	390	1019
277	391	1017
278	393	1017
279	394	1014
280	395	1011
281	396	1008
282	396	1004
283	397	1001
284	398	998
285	398	995
286	399	993
287	400	991
288	402	989
289	402	986
290	403	983
291	404	980
292	405	978
293	406	976
294	407	973
295	408	971
296	409	969
297	410	966
298	411	964
299	412	962
300	413	959
301	414	957
302	415	954
303	416	952
304	416	950
305	417	947
306	418	945
307	419	943
308	420	940
309	421	938
310	422	936
311	423	934
312	424	931
313	425	930
314	426	927
315	427	925
316	428	923
317	429	920
318	430	918
319	431	916
320	432	914
321	433	912
322	434	909
323	434	907
324	436	907
325	438	905
326	439	904
327	440	902
328	441	900
329	442	898
330	443	896
331	444	894
332	445	892
333	446	890
334	447	887
335	448	885
336	449	883
337	450	881
338	450	879
339	452	877
340	453	875
341	453	873
342	454	871
343	455	869
344	457	868
345	458	865
346	458	863
347	459	861
348	460	859
349	461	857
350	462	855
351	463	853
352	464	851
353	465	849
354	466	847
355	467	845
356	468	843
357	469	841
358	470	839
359	471	837
360	471	835
361	472	833
362	473	831
363	474	829
364	475	827
365	476	826
366	477	824
367	478	822
368	479	820
369	480	818
370	481	816
371	482	815
372	484	813
373	485	811
374	485	809
375	486	807
376	487	805
377	488	804
378	489	802
379	490	800
380	491	798
381	492	796
382	493	794
383	494	793
384	495	791
385	496	789
386	497	787
387	498	785
388	499	784
389	500	782
390	501	781
391	502	779
392	503	777
393	504	775
394	505	774
395	507	773
396	508	772
397	509	770
398	510	768
399	511	767
400	512	765
401	513	763
402	514	761
403	515	759
404	515	757
405	516	756
406	517	754
407	518	752
408	519	751
409	520	749
410	521	747
411	522	745
412	523	743
413	524	741
414	524	739
415	525	737
416	527	737
417	528	736
418	529	734
419	530	732
420	531	730
421	531	728
422	532	726
423	535	727
424	536	725
425	537	724
426	538	722
427	539	721
428	540	719
429	541	717
430	542	715
431	542	713
432	543	711
433	544	709
434	544	707
435	545	706
436	546	704
437	547	702
438	549	702
439	550	700
440	550	698
441	551	696
442	553	696
443	554	694
444	555	693
445	556	691
446	557	689
447	558	687
448	559	686
449	560	684
450	561	683
451	562	681
452	562	679
453	563	677
454	564	676
455	565	674
456	566	673
457	567	671
458	568	670
459	569	668
460	569	666
461	571	664
462	571	663
463	573	662
464	574	660
465	575	659
466	575	657
467	576	655
468	577	654
469	578	652
470	579	650
471	580	649
472	581	647
473	582	646
474	583	644
475	584	643
476	585	641
477	586	640
478	587	638
479	587	636
480	588	635
481	589	633
482	590	632
483	592	631
484	593	629
485	594	628
486	594	626
487	596	625
488	597	623
489	597	622
490	598	620
491	599	619
492	600	617
493	601	615
494	602	614
495	603	612
496	603	611
497	604	609
498	605	608
499	606	606
500	607	605
501	608	603
502	609	602
503	610	601
504	611	599
505	612	598
506	613	596
507	614	595
508	615	594
